indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
82,Información Socioeconómica INDEC Radios Censales,8ca540f9-434b-40f1-8a2f-6e22cdb26503,ERROR,24,48
83,Información Socioeconómica Índice de Pobreza Multidimensional,ed0ea922-2379-4c1e-87ae-94a99b508bd0,ERROR,1,2
84,Información Socioeconómica Jefe de Hogar con educación media incompleta,4d31208b-28d1-457c-95d3-044b5870bd26,ERROR,23,45
85,Información Socioeconómica Jefe de Hogar con educación primaria completa,be49d6c7-46e2-432f-8d97-aed1370ba36c,ERROR,24,48
86,Información Socioeconómica NBI (Deciles),9c116c36-f483-443b-9f4d-0b26c4a461e8,ERROR,23,46
87,Información Socioeconómica Urbanizaciones Cerradas Wikimapia,a1b39f04-e852-4e2d-b51e-ef3a6c3be0a5,ERROR,1,2
88,Informe: Análisis de la demanda eléctrica del  primer semestre de 2017,faba85e3-f484-4375-b23c-85168c6a35f1,OK,0,1
89,Informe Estadístico Anual 2016 del sector energético,7eb728bc-cfdd-4e4e-b659-7bf3266939f1,OK,0,1
90,Informes Estadísticos del Sector Eléctrico (Quinquenales y Decenales),2d788688-1a20-4595-841d-4786cf3595e8,OK,0,5
91,Informe Trimestral de Coyuntura Energética,82496485-c054-4623-be52-fb2bdec9b587,OK,0,8
92,Instalaciones de hidrocarburos - Ductos Res. 319/1993,84681f81-dbbb-49eb-be30-e61778736ad9,ERROR,1,2
93,Instalaciones de hidrocarburos - Instalaciones empadronads Res. 318/2010,164e7197-3222-4d21-81df-9db30ccd3940,ERROR,1,2
94,Instalaciones de hidrocarburos - Instalaciones Res. 319/1993 (P. Característicos),e5c525ff-6dbd-4e1e-a52e-14e9d742c4f1,ERROR,1,2
95,Instalaciones de hidrocarburos - Puertos regasificadores de GNL,bf7914d6-1174-4766-a632-0e7d62068b25,ERROR,1,2
96,Inventario de Presas y Centrales Hidroeléctricas de la República Argentina,ae7886fe-7919-402c-9296-bd9ec05f29a0,OK,0,4
97,Inversiones en mercado de hidrocarburos upstream,83fd2c3f-e0f5-4d56-a3ef-828eac226ba9,OK,0,4
98,Energías renovables - Irradiancia normal directa,2d730da0-632f-4722-8e6f-4e4f5f40b9ab,ERROR,1,2
99,Isotermas Atlas 2002,5a005898-adf2-4c23-984b-8a46467b7868,ERROR,1,2
100,Límites maritimos internacionales ONU 2016,1145e8af-6853-4b9e-a7d1-d59ed0b95780,ERROR,1,2
101,Límites maritimos internacionales por distancia,094b0574-78df-4b52-b594-05dad5591e02,ERROR,1,2
102,Localidades BAHRA,7a6a7cf9-235c-4c9a-85c1-9415d82055e9,ERROR,1,2
103,Mapas de comercialización de Gas Licuado de Petróleo (GLP),a8c18002-a031-4054-94a4-3a83bec7529c,OK,0,10
104,Mapas de Exploración y Producción de Hidrocarburos,d778c2e7-cb4b-4200-90a7-d711eb58030b,OK,0,9
105,Mapas de refinación y comercialización de hidrocarburos,37a54abb-a190-431b-b998-6096cd4d6187,OK,0,3
106,Mapas de Transporte de Hidrocarburos,60d3faca-84c8-4b97-85db-1f58a008844f,OK,0,11
107,Mapas históricos de Argentina,7d7a73f8-7478-441b-b18b-42d1c71b4f28,ERROR,26,26
108,Matriz de Contabilidad Social para Argentina 2015,fbdaa33d-b03e-41e8-8f11-b7ee58849de7,ERROR,1,1
109,Padrón de medidores de petróleo y gas,df832dab-b67c-4952-9f37-1bd28136967a,OK,0,4
110,Notas y multas a empresas de GLP,ce3693c7-4cab-40a1-9705-5b25b3d9145c,OK,0,3
111,Obras de GAS,768d848f-22eb-4d6f-b878-77982fb5f65d,OK,0,1
112,Obras de generación de electricidad,84bf14b4-47bf-4efb-ad7c-0d70684a50d3,OK,0,1
113,Obras de transmisión y distribución,a94977b7-d6a2-4501-b422-a20c909cc60f,OK,0,1
114,Padrón según Resolución 1104/2004,bf070f3d-c983-42d6-901b-1e4b810203df,OK,0,3
115,Parques Nacionales Protegidos,cf1a80d1-ecce-4cf8-92b7-36c2a793a59f,ERROR,1,2
116,Parques Provinciales Protegidos,59fc9e1e-b7b2-425e-839c-e4c0af10b5f3,ERROR,1,2
117,Partes diarios de gas natural,e06ad11c-7ede-420d-a608-83fa8a9156c4,OK,0,3
118,Participación de importaciones mineras por rubro,4d8592fc-0ced-4e58-8d6b-0e8548190c26,OK,0,1
119,Perforación de pozos de petróleo y gas,7ea2ac77-d7a0-4129-9fbf-6f1a25d94e21,OK,0,7
120,Plan de Acción e Inversiones a Ejecutar (Tablas Dinámicas),47c5b0c3-456d-4621-a166-1e3fa74643ba,OK,0,5
121,Plan de Inversiones,ee0c63c1-d1b9-4728-bff7-9c7921ecea0e,OK,0,1
122,Potencia Máxima del Sistema Eléctrico,6dd0bcd6-b339-408e-8a6e-e5021ed42f2d,OK,0,2
123,Producción y exploración de hidrocarburos - Pozos de Petróleo y Gas,4f43e690-4cac-4385-8a7a-89a163516dcc,ERROR,1,2
124,Pozos y Metros Perforados (Tablas Dinámicas),363d43a7-34cd-49e7-9878-61ef4f7b2654,ERROR,1,1
125,Precio Internacional (PI) del petróleo crudo,e80b32fa-5abd-49b8-85cd-901c929ba29e,OK,0,1
126,Precios de bioetanol,227cd0b0-2b36-4d4f-8a12-36c9c0ec4875,ERROR,1,3
127,Precios de biodiesel,30fcb906-5374-4790-aa89-368c0d3ef314,ERROR,1,2
128,Precios de Comercio Exterior,14a1ee5c-ab0c-42b5-b2cc-fbd4e9a9f7a6,OK,0,1
129,Precios de Venta al Mercado Interno de Petróleo Escalante,c8f6b6c5-1e2d-4d9f-b65d-01a6f9a231bc,ERROR,1,1
130,Precios de GAS natural,5ddbdfbb-b6f9-4bc1-9e71-0055e86cf552,OK,0,1
131,Precios EESS - Resolución 1104/04,708f9ab4-829b-4f02-b507-f303c5bc4800,OK,0,14
132,Precios en Surtidor - Resolución 314/2016,1c181390-5045-475e-94dc-410429be4b17,OK,0,3
133,Principales productos exportados por rubro,6f15bd25-c036-47fd-88fc-84f53b4170d4,OK,0,1
134,"Producción, aportes, ventas y cupos de Butano",78b8782e-f2ac-45e8-af65-b2efa365a959,OK,0,1
135,Producción de combustibles,c1c73b3a-0811-4441-9b65-e461fdce52e8,OK,0,1
136,Producción de GLP,55b83784-8f04-4018-91c7-027163c615b3,OK,0,2
137,Producción de GLP por planta,31f5df04-0028-46f1-8e98-b15948e0f206,OK,0,2
138,Producción de Petróleo desde 1950,f91e3405-2bd0-47eb-81bd-5d73835ec005,OK,0,1
139,Producción de petróleo y gas por pozo (Capítulo IV),c846e79c-026c-4040-897f-1ad3543b407c,OK,0,15
140,Producción de Petróleo y Gas,590d1284-fd6d-4686-afd8-b3da5d90a6e9,ERROR,1,15
141,Producción Gas Natural desde 1950,5210866d-2caf-43fd-95d8-085dc18f39cc,OK,0,1
142,Producción de hidrocarburos - Concesiones de Explotación,81cfad0a-4162-4f85-ad71-837f5a5fae57,ERROR,1,3
143,Producción de hidrocarburos - Lotes de Explotación,dbed71cd-1f2b-461a-b05d-a1903bd0ef03,ERROR,1,2
144,Producción de hidrocarburos - Productores de GLP,335210fc-64b6-4d75-8e31-211bf3291748,ERROR,1,2
145,Producción de hidrocarburos - Puntos de Venteo Declarados,530bb019-32f4-4eaf-b550-1fc05f8b129f,ERROR,1,2
146,Producción de hidrocarburos - Yacimientos,7378520e-4d10-48a9-92e9-7e20e69a8277,ERROR,1,2
147,Producción Hidrocarburos - Yacimientos Según Profundidad Promedio,bd26f4e9-74cc-4444-ae6d-2dadcf491057,ERROR,1,2
148,Pronósticos de Producción de Petróleo y Gas,dbb36686-fb66-4364-bded-d55ff4de516c,OK,0,5
149,Prospectiva Eléctrica,f14fa84f-cb50-405e-ad8d-d4eb73a02ee7,OK,0,6
150,Provincias IGN,6368bbfc-2b4d-422c-8490-08969a5e649e,ERROR,1,2
151,Proyectos hidroeléctricos,b33aca04-81d8-44ef-8842-162aa69330ca,OK,0,1
152,Publicaciones CAMMESA,2b4dfee6-6fca-4e4d-9611-a12d65cd4aa8,OK,0,2
153,Redes de distribución eléctrica,ff99e7be-7bab-4617-9588-9a74ae046a40,ERROR,22,44
154,"Redes Inteligentes - Realidad, utopía o futuro",5f59d24f-2560-4cfd-b0eb-a3f4b3e39b94,OK,0,1
155,Refinación de hidrocarburos -  Petroquímicas,8fc4e505-bd4d-431e-863e-1e44b4f6ee01,ERROR,1,2
156,Refinación de hidrocarburos - Refinerías,a9eed347-78ab-45c0-a489-b227fe42ee1b,ERROR,1,2
157,"Refinación y Comercialización de petróleo, gas y derivados (Tablas Dinámicas)",5bdc436c-60d4-4c86-98ab-59834d047700,OK,0,10
158,"Regalías de Petróleo Crudo, Gas Natural, GLP, Gasolina y Condensado",91818b43-e6cd-43cb-916f-15987b87de69,OK,0,4
159,Registro de empresas de hidrocarburos del upstream,2b227214-829d-4ef5-9f3e-c9bb49fa2f4c,OK,0,3
160,Registro de empresas de transporte de hidrocarburos por ductos,c126ad73-399a-4fa4-be8e-bd0142f3608c,OK,0,1
161,Registro de empresas e instalaciones con tanques aéreos de hidrocarburos líquidos,c9611150-ed6d-4751-9a61-2dbb6dcfebb7,OK,0,1
162,Registro de empresas e instalaciones de GLP,7689a7b6-f12d-43f4-8a41-486ad7912b6c,OK,0,1
163,Padrón de operadores autorizados para la venta de combustibles líquidos,21a54fa2-539d-4570-b1cd-679d54229d2f,OK,0,1
164,Reservas de Petróleo y Gas,61c8fc78-540f-463b-aefb-ef854e6baed1,OK,0,28
165,Salto Grande,3476af68-65ad-42e4-967a-916ec57bb4e0,OK,0,1
166,Síntesis del Mercado Eléctrico Mayorista de la CNEA,f2acbbca-85c6-43a3-994f-c843f466d245,ERROR,1,1
167,Tablas Dinámicas el CENSO 2010,1c667c1c-0df6-41a4-acdd-35223658f16b,OK,0,1
168,La temperatura y su influencia en la demanda de energía eléctrica.,f3552056-dfb9-4b99-a1b8-cebf9e3d6a24,OK,0,1
169,The beginning of the transformation,182d2184-49a2-4769-a33b-e4204eac3183,OK,0,1
170,"Capacidad de Transporte Contratada en Firme, por Cargador",bf96c65d-e5dd-41fd-b512-ed45d215965f,OK,0,1
171,Transporte Eléctrico AT Estaciones Transformadoras,5ae5fbf9-5ab3-407b-a047-625bf27835aa,ERROR,1,2
172,Transporte Eléctrico AT Estructuras,caf271e7-a89e-4c09-ac6c-1864eb8faf3a,ERROR,1,2
173,Transporte Eléctrico AT Líneas,53014951-6ee1-4e99-a830-c4d0eb373496,ERROR,1,1
174,Transporte Hidrocarburos -  Ductos Troncales - Gasoductos,8758101a-1e0d-413f-8cc5-83e21ece6391,ERROR,1,2
175,Transporte Hidrocarburos - Ductos Troncales - JP Ducto,9ab57324-669c-4597-8f10-081f581629c1,ERROR,1,2
176,Transporte Hidrocarburos - Ductos Troncales - Oleoductos,61ce171c-cea4-45da-907a-dc64731be021,ERROR,1,2
177,Transporte Hidrocarburos - Ductos Troncales - Poliductos,72d74a8e-872e-4bc4-907a-c57b2d063158,ERROR,1,2
178,Transporte de hidrocarburos  - Ductos Troncales - Propanoductos,b5681530-fb92-4fff-ae89-9a327f28120f,ERROR,1,2
179,Vehículos habilitados para GNC,3f3cdc6d-575d-4f62-9b47-158a09213930,OK,0,1
180,Ventas GLP,63ab43cc-7055-4969-87d3-6a969f1d5386,OK,0,5
