indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
124,Gas natural entregado a grandes usuarios por provincia,d71e814d-96f9-4d4c-9159-09f4c1e12c9d,ERROR,2,1
125,Gas natural entregado por área de licencia,3242b2a3-ff7e-452e-8482-d32c9623fdf5,ERROR,2,1
126,Gas natural entregado por provincia,8e947cf0-109e-4a60-adb4-5fa74bcbfb75,ERROR,2,1
127,Generación Eléctrica Bruta Asociada a redes desde 1930,d1cedf9f-877a-4b58-b6ab-5fb3335a122a,ERROR,2,1
128,Generación Eléctrica - Centrales de generación,d8f2257f-6dff-4107-a00c-839960e043be,ERROR,2,2
129,Generación Eléctrica - Pequeños Aprovechamientos Hidroeléctricos (PAH),d003f3bd-b315-406d-ae4b-e6da5e5da827,ERROR,2,2
130,Geología - Yacimientos Minerales,81bd0fc0-b26b-48b8-9e74-cc66179f467f,ERROR,2,2
131,GLP: Distancia de áreas urbanas a depósitos y fraccionadoras,565d0b57-0fc8-48a3-a0a5-0353ef461764,ERROR,2,3
132,Haber mínimo jubilatorio. Pesos corrientes,5b879df1-1216-4f35-b5ea-de2a918c5421,ERROR,2,1
133,Hogares con ingresos por debajo de la línea de indigencia EPH puntual y continua,4cce2dbc-ffef-4b83-8290-31c9a35e7c97,ERROR,2,1
134,Hogares con ingresos por debajo de la línea de pobreza EPH puntual y continua,ab94b24a-4197-4a27-80b9-f357842b8000,ERROR,2,1
135,Hogares y la población que habita con ingresos por debajo de la línea de pobreza e indigencia Encuesta puntual,5b17d316-3a01-4e40-b0b0-d488c7d6375d,ERROR,2,1
136,Homologación de empresas inscriptas,99d919da-e1fd-4253-9fc8-de824b6b4745,ERROR,2,3
137,Homologación de equipos inscriptos,828ce0b8-c37e-43c7-a03d-001f3d0e6a3d,ERROR,2,3
138,Honorarios de Directores,7b6e1682-cb46-45f1-b221-470214130c6a,ERROR,2,3
139,Importaciones CIF por region y país,44be9f98-88b5-4b92-be06-893bb3181d2e,ERROR,2,3
140,Importaciones CIF por Uso Económico,53dac051-57d2-4d82-8ad9-86f94e9a591a,ERROR,2,3
141,Importaciones en el marco del régimen de inversiones mineras,2c01b2f4-b028-4d69-928c-72f81117f2a1,ERROR,2,1
142,Importaciones mineras por rubro,7cb14771-6fd2-47b4-9c16-a4de64b0f3fb,ERROR,2,1
143,Importaciones según el Nomenclador Común del Mercosur (NCM),58cb4b88-f67f-449e-8de8-3ab2592a5e9a,ERROR,2,3
144,Indicadores de producción de la Industria manufacturera,bd21d369-5fc7-4763-b7d9-a7e4138b05cc,ERROR,2,3
145,Indicadores Provinciales Socioeconómicos,220e9915-d6cd-4605-a8cc-fbc72252895a,ERROR,2,2
146,Indicadores Sectoriales Automotriz,298c2ea1-d73f-4389-bebf-790a85df68b0,ERROR,2,3
147,Indicadores Sectoriales de Azúcar,3eaa265d-1f8d-4351-931a-4baa8d06e178,ERROR,2,2
148,Indicadores Sectoriales de Carne Aviar,23d312fc-9649-4893-9a74-7cee3ab71216,ERROR,2,3
149,Indicadores Sectoriales Forestales,f443d25a-43dd-4ebf-bdad-e6cf9c0fce8d,ERROR,2,2
150,Indicadores Sectoriales de Hidrocarburos,9456de5a-1841-44b3-abbc-b93b949d3ff6,ERROR,2,3
151,Indicadores Sectoriales de la Industria Farmaceútica,6a02bd61-f25e-42d3-99d7-6ea577a42061,ERROR,2,2
152,Indicadores Sectoriales de la Industria Metálicas Básicas,18dcdc8b-72ab-43bd-ae90-8ffce9c1683c,ERROR,2,2
153,Indicadores Sectoriales de Lácteos,791bf499-89cd-40f0-936e-aaecbcb1ccb2,ERROR,2,3
154,Indicadores Sectoriales de Manzana y Pera,dff3e0a0-184e-42a1-b7c9-f6c7028bd2b8,ERROR,2,2
155,Indicadores Sectoriales de Maquinaria Agrícola,1f85df8d-00d5-44da-8ec0-a02e384b68ab,ERROR,2,2
156,Indicadores Sectoriales de la Minería Metalífera,0cfee573-927a-4768-a3c8-a321f1035460,ERROR,2,3
157,Indicadores Sectoriales de Pesca Marítima,5c6da512-7e98-4b54-81e0-5c58e8357452,ERROR,2,3
158,Indicadores Sectoriales de Servicios Turísticos,d2b12510-806c-48db-a70e-1dd7f74ac8e9,ERROR,2,1
159,Indicadores Sectoriales de Vitivinicultura,0d050ef4-6726-47c3-8c9b-9b2f351f570e,ERROR,2,2
160,Indicador sintético de la actividad de la construcción. Índice. Base 2004,074682ef-9ba7-4d89-a9b5-12ce4f276f68,ERROR,2,3
161,Indicador sintético de la actividad de la construcción. Variaciones interanuales. Base 2004,f596c90d-3a56-4be1-8825-11f2bf007a0c,ERROR,2,1
162,Índice de Costo de la Construcción. Base 1993,b2754d07-443a-487f-82a4-eef966e2ffed,ERROR,2,3
163,Índice de Precios al Consumidor. Bienes y Servicios. Base abril 2008,a1ae3e31-a967-47df-b7d3-0815de1d42f1,ERROR,2,3
164,Índice de Precios al Consumidor. Bienes y Servicios. Base abril 2016.,12a8f506-a1bf-41e4-a486-e97bca332b71,ERROR,2,2
165,Índice de Precios al Consumidor. Bienes y Servicios. Base diciembre 2016.,ae650abf-a6dc-4b64-8d20-ff801019e59a,ERROR,2,1
166,"Índice de precios al consumidor GBA, por principales aperturas",7049230b-008f-433f-99a1-ed24ce1108c1,ERROR,2,2
167,"Índice de Precios al Consumidor de GBA, por principales aperturas. Base abril 2016.",6e5ff1ee-75a1-47ba-bf33-f4b8d6dba26a,ERROR,2,2
168,"Índice de Precios al Consumidor Nacional Urbano, por principales aperturas",2584ab46-41db-408d-9678-204769c7a040,ERROR,2,2
169,Índice de Precios al Consumidor. Nivel General. Base diciembre 2016.,f539466e-b10f-4b1f-a06a-3d2cff414ba5,ERROR,2,1
170,Índice de Precios al Consumidor. Por capítulos. Base 10/2013 - 9/2014.,0734e3da-8cbf-42cc-99e8-e694253a9b5b,ERROR,2,2
171,Índice de Precios al Consumidor. Por capítulos. Base 2003.,7790df3c-20ae-4f20-a90d-df0dec40ba18,ERROR,2,2
172,Índice de Precios al Consumidor. Por capítulos. Base abril 2008.,aae1cf3f-6738-46fc-9a83-6ad0d7768d93,ERROR,2,2
173,Índice de Precios al Consumidor. Por capítulos. Base abril 2016,fa8d7eed-1284-485b-a734-a6142334f84e,ERROR,2,2
174,Índice de Precios al Consumidor. Por capítulos. Base diciembre 2016.,68e4c233-b950-48cc-b523-0b00d7965a12,ERROR,2,1
175,Índice de Precios al Consumidor. Por categorías. Base abril 2016.,8244a401-4364-4cc0-8167-2faae075bd8c,ERROR,2,2
176,Índice de Precios al Consumidor. Por categorías. Base diciembre de 2016.,525579c7-e7f2-4aba-9b29-e2033b342c9f,ERROR,2,1
177,Índice de Precios al Consumidor. Por grupos. Base 2008.,636d94be-82c3-4b05-943b-e4cdb285cfd1,ERROR,2,3
178,Índice de Precios al Consumidor. Precios al consumidor de un conjunto de alimentos y bebidas. Base abr 2016.,4ec55de4-3d73-4df6-bc6b-fb46a70225c9,ERROR,2,2
179,Índice de precios implícitos de la Oferta y Demanda Globales. Base 1993,ad6bd31a-a0a0-4ff5-a1f9-ed758f554176,ERROR,2,2
180,Índice de precios implícitos de la Oferta y Demanda Globales. Base 2004,eb727d1a-2001-40b3-b399-a4ee4ee29cee,ERROR,2,2
181,Índice de precios implícitos de la Oferta y Demanda Globales por componente. Base 2004,78b228e4-a7e5-409b-a509-8e29981ddc9c,ERROR,2,2
182,Índice de Precios Implícitos en el Producto Interno Bruto corriente. Base 1993,ba824d4b-6d30-4a22-ac15-8880919fc5da,ERROR,2,2
183,Índice de precios implícitos en el Producto Interno Bruto de Sectores Productores de Bienes y de Servicios. Base 1993,68dd9227-9444-4d94-91b3-732e46609f86,ERROR,2,2
184,Índice de precios implícitos del Valor Agregado Bruto. Base 1993,d2b1b9d0-d3ad-4773-a8f3-91894346dce1,ERROR,2,2
185,Índice de precios implícitos del Valor Agregado Bruto. Base 2004,9bdac374-bf0b-4b53-bfb3-4f0e84f98c07,ERROR,2,2
186,Índice de precios implícitos del Valor Agregado Bruto a precios de mercado. Base 2004,cb7daae7-360d-4bd5-9199-0dc689ca3ce8,ERROR,2,2
187,Índice de Precios Internos al por Mayor (IPIM),49bdef19-f1a2-4fb2-b144-95be7ea835b3,ERROR,2,4
188,Índice de Precios Internos al por Mayor (IPIM) hasta cuatro dígitos,4a744f4d-055f-49df-bd76-f5731f677567,ERROR,2,2
189,Índice de Precios Internos Básicos al por Mayor.,5898f791-3bf7-449a-aaff-527379425bbd,ERROR,2,4
190,Índice de Precios Internos Básicos al por Mayor (IPIB) hasta cuatro dígitos,7668065f-ebf2-4f50-a1b9-df68c8a812ba,ERROR,2,2
191,Índice de Precios Internos Básicos del Productor.,8c0e69d7-b250-4faf-88b4-97906adcc891,ERROR,2,4
192,Índice de precios de materias primas. Base 1995,939f364d-349d-4248-8efc-348fe84ecece,ERROR,2,3
193,Índice de salarios. Base 2012,8e035e8b-af1f-4e51-8838-df413c6587a5,ERROR,2,2
194,Índice de salarios. Base Octubre 2016,37fdc259-0197-4726-8324-fc37df1e9c57,ERROR,2,1
195,Índices Morgan Stanley Capital Investment (MSCI),c9276a32-5a40-4adc-bd36-db54318e57b4,ERROR,2,4
196,"Índices de obreros ocupados, horas trabajadas y salario por obrero en la industria manufacturera",6554c9e5-1de8-43a6-8066-8042ada7da7c,ERROR,2,2
197,"Índices de precios al consumidor, por país",62707474-13d5-4c10-a2aa-dd9e261e4bca,ERROR,2,3
198,Índices de precios internacionales de productos básicos,4bfe4ba4-0093-4a97-b1c6-bd2c0d4cffaa,ERROR,2,3
199,"Índices de valor, precio y cantidad de las exportaciones de bienes",de0143b6-ce74-4458-9408-a23bcb5dc87f,ERROR,2,2
200,"Índices de valor, precio y cantidad de las importaciones de bienes",ebececd2-9bf2-47d5-8c37-30deabe053d3,ERROR,2,2
201,Índice de términos del intercambio. Base 2004,71b86958-7040-45fb-8e0f-93f611de806b,ERROR,2,2
202,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,dc735137-597f-477d-8ada-e610f7034cbc,ERROR,2,2
203,Índice de Tipo de Cambio Real Multilateral Base Diciembre de 2001 = 100,cafbda75-70d2-4376-8c03-1a51ce808b50,ERROR,2,3
204,"Ingreso nacional, Ahorro nacional, Ahorro externo y Ahorro interno. Base 1993",037b0b79-3fb7-42d2-be20-7b7ab1cc1c51,ERROR,2,1
205,"Ingreso Nacional, Ahorro Nacional y Préstamo Neto. Base 1993",d57d8250-d747-4712-b7ce-63a749c0f759,ERROR,2,2
206,Ingresos por la operación del servicio de Internet fijo,7867ac3c-434f-4f2f-93b2-c9f30ac59d11,ERROR,2,3
207,Ingresos trimestrales por la prestación de los servicios de televisión,cb5af4c6-12d4-4445-b87c-b89ecfaee360,ERROR,2,3
208,Ingresos trimestrales por la prestación del servicio de telefonía fija,26fb553c-5f8b-4891-9d8a-0d95680345f2,ERROR,2,3
209,Ingresos trimestrales por la prestación del servicio de telefonía móvil,931742c4-feb7-4970-b192-5435b9277fb2,ERROR,2,3
210,Inmuebles Propios del Estado Nacional y Alquilados,9a01a890-5f12-4079-bcc7-cae0f37db520,ERROR,2,1
