indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
63,"Producto Interno Bruto Establecimientos Financieros, Seguros y Bienes Inmuebles en australes a precios de 1970",38240b6b-cedd-40a9-b96c-1d011b2483db,ERROR,1,1
64,"Producto Interno Bruto Electricidad, Gas y Agua en australes a precios de 1970",22059919-dcae-4c78-9be5-9f484afa102b,ERROR,1,1
65,Producto Interno Bruto Construcciones en australes a precios de 1970,3b22352f-6e42-4bd6-affe-4d64151737ae,ERROR,1,1
66,"Producto Interno Bruto Comercio al por Mayor, Menor, Restaurantes y Hoteles en australes a precios de 1970",6c5eb0ca-9424-4ef0-ae16-c8b26348b3a6,ERROR,1,1
67,"Producto Interno Bruto Agricultura, Caza, Silvicultura y Pesca en australes a precios de 1970",f4d682a2-c50a-4846-a3f4-a29025672b92,ERROR,1,1
68,Inversión Bruta Interna Equipo Durable de Producción Nacional en australes a precios de 1970,c85c73fc-2233-4779-ad2f-a1f09568fb5c,ERROR,1,1
69,Inversión Bruta Interna Variación de Existencias en australes a precios de 1970,a730b9cd-f09c-4639-8ca3-98e3e22f321a,ERROR,1,1
70,Inversión Bruta Interna en australes a precios de 1970,2d77eb28-7a2b-4a89-9a37-c2d12f95b65c,ERROR,1,1
71,"Producto Interno Bruto Transporte, Almacenamiento y Comunicaciones en millones de pesos de 1960",4953c97c-60c0-490d-b491-a4fb4e74db9c,ERROR,1,1
72,Producto Interno Bruto Subtotal Pecuario en millones de pesos de 1960,a412c2be-116d-4b1e-8aa2-208cbd458a3f,ERROR,1,1
73,"Producto Interno Bruto Servicios Comunales, Sociales y Personales en millones de pesos de 1960",7ce5eb14-b1c5-46ae-ada1-d0446b2df976,ERROR,1,1
74,"Producto Interno Bruto Establecimientos Financieros, Seguros y Bienes Inmuebles en millones de pesos de 1960",afb3f943-a30e-4039-870e-297e2dac0b88,ERROR,1,1
